"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"Memory_Ants.nlogox"
"1 гипотеза"
"06/08/2026 21:11:23:379 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-40","40","-40","40"
"[run number]","use-memory?","evaporation-rate","diffusion-rate","more-food?","[step]","total-food-count","count turtles","[length my-memory] of turtles"
"241","false","10","50","false","1000","57","0","[]"
"244","false","10","50","false","1000","81","0","[]"
"242","false","10","50","false","1000","95","1","[0]"
"243","false","10","50","false","1000","118","1","[0]"
"245","false","10","50","false","1000","107","0","[]"
"246","false","10","50","false","1000","93","0","[]"
"247","false","10","50","false","1000","113","1","[0]"
"248","false","10","50","false","1000","70","0","[]"
"249","false","10","50","false","1000","26","0","[]"
"250","false","10","50","false","1000","90","0","[]"
"251","false","10","50","false","1000","63","0","[]"
"252","false","10","50","false","1000","54","0","[]"
"253","false","10","50","false","1000","37","0","[]"
"254","false","10","50","false","1000","88","1","[0]"
"255","false","10","50","false","1000","108","0","[]"
"256","false","10","50","false","1000","100","1","[0]"
"257","false","10","50","false","1000","83","0","[]"
"258","false","10","50","false","1000","83","0","[]"
"259","false","10","50","false","1000","78","0","[]"
"173","false","10","0","false","1000","60","0","[]"
"260","false","10","50","false","1000","120","0","[]"
"261","false","10","50","true","1000","106","1","[0]"
"262","false","10","50","true","1000","155","3","[0 0 0]"
"263","false","10","50","true","1000","98","0","[]"
"264","false","10","50","true","1000","152","3","[0 0 0]"
"266","false","10","50","true","1000","135","3","[0 0 0]"
"268","false","10","50","true","1000","140","0","[]"
"267","false","10","50","true","1000","179","3","[0 0 0]"
"269","false","10","50","true","1000","91","0","[]"
"270","false","10","50","true","1000","176","1","[0]"
"272","false","10","50","true","1000","111","3","[0 0 0]"
"271","false","10","50","true","1000","113","5","[0 0 0 0 0]"
"273","false","10","50","true","1000","66","0","[]"
"274","false","10","50","true","1000","120","2","[0 0]"
"275","false","10","50","true","1000","139","3","[0 0 0]"
"276","false","10","50","true","1000","55","0","[]"
"277","false","10","50","true","1000","83","2","[0 0]"
"278","false","10","50","true","1000","160","1","[0]"
"279","false","10","50","true","1000","120","2","[0 0]"
"281","false","10","50","false","1000","27","0","[]"
"280","false","10","50","true","1000","162","5","[0 0 0 0 0]"
"282","false","10","50","false","1000","91","0","[]"
"283","false","10","50","false","1000","104","0","[]"
"284","false","10","50","false","1000","98","0","[]"
"285","false","10","50","false","1000","78","0","[]"
"286","false","10","50","false","1000","48","0","[]"
"288","false","10","50","false","1000","72","0","[]"
"287","false","10","50","false","1000","87","0","[]"
"289","false","10","50","false","1000","94","2","[0 0]"
"290","false","10","50","false","1000","146","1","[0]"
"291","false","10","50","false","1000","88","1","[0]"
"292","false","10","50","false","1000","73","0","[]"
"293","false","10","50","false","1000","96","1","[0]"
"294","false","10","50","false","1000","85","0","[]"
"295","false","10","50","false","1000","48","0","[]"
"296","false","10","50","false","1000","90","0","[]"
"297","false","10","50","false","1000","86","0","[]"
"298","false","10","50","false","1000","141","0","[]"
"300","false","10","50","false","1000","72","1","[0]"
"299","false","10","50","false","1000","76","0","[]"
"301","false","10","50","true","1000","117","1","[0]"
"302","false","10","50","true","1000","143","2","[0 0]"
"303","false","10","50","true","1000","98","0","[]"
"304","false","10","50","true","1000","122","1","[0]"
"305","false","10","50","true","1000","84","0","[]"
"306","false","10","50","true","1000","143","1","[0]"
"307","false","10","50","true","1000","173","1","[0]"
"308","false","10","50","true","1000","124","1","[0]"
"309","false","10","50","true","1000","59","0","[]"
"310","false","10","50","true","1000","161","2","[0 0]"
"311","false","10","50","true","1000","124","2","[0 0]"
"312","false","10","50","true","1000","122","1","[0]"
"313","false","10","50","true","1000","46","0","[]"
"314","false","10","50","true","1000","152","2","[0 0]"
"315","false","10","50","true","1000","156","0","[]"
"316","false","10","50","true","1000","164","3","[0 0 0]"
"319","false","10","50","true","1000","113","0","[]"
"317","false","10","50","true","1000","108","1","[0]"
"318","false","10","50","true","1000","179","2","[0 0]"
"320","false","10","50","true","1000","128","2","[0 0]"
"321","false","10","50","false","1000","90","1","[0]"
"322","false","10","50","false","1000","64","0","[]"
"323","false","10","50","false","1000","127","0","[]"
"324","false","10","50","false","1000","103","0","[]"
"325","false","10","50","false","1000","80","0","[]"
"326","false","10","50","false","1000","84","0","[]"
"327","false","10","50","false","1000","127","1","[0]"
"328","false","10","50","false","1000","87","1","[0]"
"329","false","10","50","false","1000","97","2","[0 0]"
"330","false","10","50","false","1000","72","0","[]"
"332","false","10","50","false","1000","128","0","[]"
"331","false","10","50","false","1000","85","0","[]"
"333","false","10","50","false","1000","75","0","[]"
"334","false","10","50","false","1000","68","1","[0]"
"335","false","10","50","false","1000","24","0","[]"
"336","false","10","50","false","1000","91","1","[0]"
"337","false","10","50","false","1000","131","0","[]"
"338","false","10","50","false","1000","125","0","[]"
"339","false","10","50","false","1000","119","1","[0]"
"340","false","10","50","false","1000","38","0","[]"
"341","false","10","50","true","1000","152","1","[0]"
"265","false","10","50","true","1000","54","0","[]"
"342","false","10","50","true","1000","147","1","[0]"
"345","false","10","50","true","1000","81","0","[]"
"343","false","10","50","true","1000","120","0","[]"
"344","false","10","50","true","1000","118","1","[0]"
"346","false","10","50","true","1000","117","1","[0]"
"348","false","10","50","true","1000","151","3","[0 0 0]"
"350","false","10","50","true","1000","124","1","[0]"
"351","false","10","50","true","1000","114","1","[0]"
"349","false","10","50","true","1000","186","2","[0 0]"
"352","false","10","50","true","1000","130","1","[0]"
"353","false","10","50","true","1000","121","2","[0 0]"
"354","false","10","50","true","1000","110","1","[0]"
"355","false","10","50","true","1000","126","1","[0]"
"356","false","10","50","true","1000","116","1","[0]"
"357","false","10","50","true","1000","116","0","[]"
"358","false","10","50","true","1000","141","2","[0 0]"
"359","false","10","50","true","1000","113","1","[0]"
"360","false","10","50","true","1000","110","1","[0]"
"361","false","0","50","false","1000","128","2","[0 0]"
"362","false","0","50","false","1000","132","1","[0]"
"363","false","0","50","false","1000","111","1","[0]"
"364","false","0","50","false","1000","123","2","[0 0]"
"365","false","0","50","false","1000","112","2","[0 0]"
"366","false","0","50","false","1000","128","1","[0]"
"367","false","0","50","false","1000","138","1","[0]"
"368","false","0","50","false","1000","131","0","[]"
"369","false","0","50","false","1000","148","3","[0 0 0]"
"370","false","0","50","false","1000","121","1","[0]"
"371","false","0","50","false","1000","121","1","[0]"
"372","false","0","50","false","1000","120","0","[]"
"373","false","0","50","false","1000","134","3","[0 0 0]"
"374","false","0","50","false","1000","133","2","[0 0]"
"375","false","0","50","false","1000","126","1","[0]"
"376","false","0","50","false","1000","118","1","[0]"
"377","false","0","50","false","1000","127","2","[0 0]"
"378","false","0","50","false","1000","143","3","[0 0 0]"
"379","false","0","50","false","1000","132","2","[0 0]"
"380","false","0","50","false","1000","140","2","[0 0]"
"381","false","0","50","true","1000","299","20","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"382","false","0","50","true","1000","286","16","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"383","false","0","50","true","1000","295","17","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"384","false","0","50","true","1000","266","12","[0 0 0 0 0 0 0 0 0 0 0 0]"
"385","false","0","50","true","1000","286","17","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"386","false","0","50","true","1000","270","12","[0 0 0 0 0 0 0 0 0 0 0 0]"
"387","false","0","50","true","1000","305","19","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"388","false","0","50","true","1000","250","14","[0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"389","false","0","50","true","1000","307","18","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"390","false","0","50","true","1000","298","18","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"392","false","0","50","true","1000","266","13","[0 0 0 0 0 0 0 0 0 0 0 0 0]"
"391","false","0","50","true","1000","301","14","[0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"393","false","0","50","true","1000","289","16","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"394","false","0","50","true","1000","303","19","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"396","false","0","50","true","1000","295","15","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"395","false","0","50","true","1000","239","12","[0 0 0 0 0 0 0 0 0 0 0 0]"
"397","false","0","50","true","1000","306","19","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"400","false","0","50","true","1000","281","13","[0 0 0 0 0 0 0 0 0 0 0 0 0]"
"398","false","0","50","true","1000","299","22","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"399","false","0","50","true","1000","284","14","[0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"401","false","0","50","false","1000","146","1","[0]"
"402","false","0","50","false","1000","126","2","[0 0]"
"403","false","0","50","false","1000","135","2","[0 0]"
"404","false","0","50","false","1000","133","3","[0 0 0]"
"405","false","0","50","false","1000","128","3","[0 0 0]"
"406","false","0","50","false","1000","105","1","[0]"
"407","false","0","50","false","1000","125","2","[0 0]"
"347","false","10","50","true","1000","119","1","[0]"
"408","false","0","50","false","1000","113","2","[0 0]"
"409","false","0","50","false","1000","128","2","[0 0]"
"410","false","0","50","false","1000","120","0","[]"
"411","false","0","50","false","1000","147","2","[0 0]"
"412","false","0","50","false","1000","124","1","[0]"
"414","false","0","50","false","1000","145","1","[0]"
"415","false","0","50","false","1000","136","3","[0 0 0]"
"416","false","0","50","false","1000","128","2","[0 0]"
"417","false","0","50","false","1000","133","1","[0]"
"418","false","0","50","false","1000","114","1","[0]"
"419","false","0","50","false","1000","115","1","[0]"
"420","false","0","50","false","1000","121","1","[0]"
"421","false","0","50","true","1000","275","16","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"422","false","0","50","true","1000","241","11","[0 0 0 0 0 0 0 0 0 0 0]"
"423","false","0","50","true","1000","280","16","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"424","false","0","50","true","1000","263","11","[0 0 0 0 0 0 0 0 0 0 0]"
"425","false","0","50","true","1000","308","22","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"426","false","0","50","true","1000","318","23","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"427","false","0","50","true","1000","273","15","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"428","false","0","50","true","1000","289","14","[0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"429","false","0","50","true","1000","289","15","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"430","false","0","50","true","1000","290","13","[0 0 0 0 0 0 0 0 0 0 0 0 0]"
"432","false","0","50","true","1000","284","16","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"431","false","0","50","true","1000","269","13","[0 0 0 0 0 0 0 0 0 0 0 0 0]"
"433","false","0","50","true","1000","273","10","[0 0 0 0 0 0 0 0 0 0]"
"434","false","0","50","true","1000","298","18","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"437","false","0","50","true","1000","266","13","[0 0 0 0 0 0 0 0 0 0 0 0 0]"
"435","false","0","50","true","1000","313","21","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"436","false","0","50","true","1000","299","20","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"438","false","0","50","true","1000","284","15","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"439","false","0","50","true","1000","320","20","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"440","false","0","50","true","1000","269","16","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
"441","false","0","50","false","1000","145","3","[0 0 0]"
"442","false","0","50","false","1000","140","0","[]"
"443","false","0","50","false","1000","108","0","[]"
"444","false","0","50","false","1000","126","0","[]"
"445","false","0","50","false","1000","129","2","[0 0]"
"446","false","0","50","false","1000","118","1","[0]"
"447","false","0","50","false","1000","121","0","[]"
"448","false","0","50","false","1000","135","0","[]"
"449","false","0","50","false","1000","125","2","[0 0]"
"450","false","0","50","false","1000","126","2","[0 0]"
"451","false","0","50","false","1000","121","1","[0]"
"452","false","0","50","false","1000","108","1","[0]"
"453","false","0","50","false","1000","122","0","[]"
"454","false","0","50","false","1000","138","3","[0 0 0]"
"455","false","0","50","false","1000","126","1","[0]"
"457","false","0","50","false","1000","125","3","[0 0 0]"
"456","false","0","50","false","1000","137","3","[0 0 0]"
"458","false","0","50","false","1000","107","1","[0]"
"413","false","0","50","false","1000","126","1","[0]"
"459","false","0","50","false","1000","111","0","[]"
"460","false","0","50","false","1000","125","3","[0 0 0]"
"461","false","0","50","true","1000","256","13","[0 0 0 0 0 0 0 0 0 0 0 0 0]"
"462","false","0","50","true","1000","278","11","[0 0 0 0 0 0 0 0 0 0 0]"
"463","false","0","50","true","1000","277","12","[0 0 0 0 0 0 0 0 0 0 0 0]"
"465","false","0","50","true","1000","295","17","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
